# family_verify_clean started 2026-08-25T08:06:48Z ; verifier sha256 0f38bb0dcdc9eb73ed7bed5bdf763728bfdde78b7da55b2e66002f6eafd3da05 ; sage SageMath version 10.8, Release Date: 2025-12-18
1000003009 | EXCLUDED | 32/32 | aca5251f682ad022be782c7b1895bd943e442ed6a39c2262e01c3029fb96c712 | 95168c4682904b7f759b27cd67c21aa0262e941aadb22b1c0530d5564d08b891
1000003777 | EXCLUDED | 32/32 | 5b03817ae04406233b0ddefe8f89f5a2dfd50d5fb8c070b43700420c8c57e28b | 737f410c689a32224181a3460f31bfcfeb225a96e3d7eee1906649fc21efef83
1000000321 | EXCLUDED | 32/32 | 3c8ee2cd18b43bb19d1d3762739c086f69bec5b6ef70895dce56460cbac4e31e | 9db8bbe13d61f111923cbf58707479b32a83900e56a49c2e105e50e580108967
1000001857 | EXCLUDED | 32/32 | 8885c9f43cd1fbfba367a07feafd7cde683faa2c086e53f81a6312fd87db5e37 | 8ae02ce653ce66d1db24bc01dbdb1a6134b746eb79285efdd93430aecb9478c0
1000008257 | EXCLUDED | 32/32 | 9578af0a716fec7e3d3e89d56c8886454efd636c4c19d836f6cc656fece6f650 | a5b5ee710977da1724bfce261a711895fb950e6199a5a9e00de37b16011d03e9
1000005953 | EXCLUDED | 32/32 | 99f84d8baaaedaf6a191920c64999cec54736a43da3efe252e5290ce674bb197 | 5ce1e6329c328abd7c82e506627cf1225714fe155969d6297465bce5349c95af
1000007873 | EXCLUDED | 32/32 | 49eadc1617193a5b20d9de7705830bd9cfa3df66803f00610a725d2b59247e4a | 272fc7a89c48dd85b076ffe716517991651317c94e922a1d4038731c3a9a2414
1000011329 | EXCLUDED | 32/32 | a2904bb06546dc117e840975d307f1057b8eed5a8b11e387819bb54cc451be2c | 4bd805338b424f6eb58eb44ce010ea91b2f03131df1f7607a20a20f908a72f61
1000012609 | EXCLUDED | 32/32 | e3c4ed7a1b359604598852bcc5a5abc07e53ca73708830c97d170d7702917fb5 | 97b7bd81826c1cc7942c6111908447b9fb6a3b1e0809e157a59f2c5954dfff7d
1000015553 | EXCLUDED | 32/32 | b4aef656662944effa95ba7ed887bdddfc9b71cad4a036c5ff6415c2a55f7363 | 8048ed75109e964c6a7fe50b767d5f6844ea6a937eea775098ba6f56fd4c2625
1000014529 | EXCLUDED | 32/32 | fed39c9251cb9cadb5b8a5e080c68993ac6bcea752c175c09e5d8668737253af | 24201f5579cb3204af04d8ea5df3177031c3ac29575e75ba857dfe9bab2e466f
1000017089 | EXCLUDED | 32/32 | 315b7d06eecd0df2f7190e736575b02716d9fa9ac92bac12030752cb26eebf86 | 7b1ca71de062460b3fbdd8fa4b981995179f54a78893790d45664ed37546d6ef
1000019393 | EXCLUDED | 32/32 | 3026c4a5f58ca93463dae66373841734f60ef5fcbd95e999ea120dbd7ef4079c | b3b41cdb40b0282db43e8a76a8da87017e46f3fc552bdae7c7f214904a36c70b
1000018753 | EXCLUDED | 32/32 | 4452a3dd1279a4e4db4bcf5939f7187cd74d6f4705075244140ddd7bea3bc158 | e108554516103b4fb01d5c69483935d884b66b06e1bcf85de68ab1b9ffdc25ef
1000019777 | EXCLUDED | 32/32 | 72ef5badd093ef47026e8300aeda34c3c74882b8fc79b261bc35481f2062f170 | 3e09d24b8a9677418c17b0237dbc088a4d0e300870a1832fc6af0ffe1d4f0116
1000020929 | EXCLUDED | 32/32 | 7b26146c36c63821defcb81462b1c766270acad884eb11b11790b7598a8d681a | 184ec44e26cf646992c3161793f078612f5af8a4cc819889ad73237efae4bb9f
1000021697 | EXCLUDED | 32/32 | aa46c01a5c5e19026fd2bb052c11d555cf45b181351dacb0b8e049e3e339cb05 | 20dcd79906ccc9cde39ed598466c6f7207eba849692c35ac0789ff7cc53f5c82
1000022081 | EXCLUDED | 32/32 | d93225914279984590be93b94d4519f2d0c99ad5252b88af24cdf529120ae633 | a4f2dcb019c85598114d2394bb25a42c9fdae52e2fa476d3d8db106467bf8506
1000024769 | EXCLUDED | 32/32 | ae080c003d9ce790e54eed5f16985fd3ee5a75ae435cd6b6a4e7f33915e7cc01 | 51f13c02169388f8f2f008c91625d19b265e7594411407430bbc71c64cd7112a
