n  r   N    c   D(covol)          L_3n      C3exact          log10C3   G1^f       Gcyclo^f   Thm0.3(s=r)  C3/Thm0.3
1  1    3    2  1.471009e+00  0.83348  2.696073e+00     0.43  2.700e+01  1.800e+01  4.000e+00  6.740e-01
2  1    9    2  1.081754e+01  1.44364  6.608812e+00     0.82  2.700e+01  1.800e+01  4.000e+00  1.652e+00
2  2    9    6  9.782993e+02  1.44364  6.692341e+02     2.83  1.771e+06  5.249e+05  5.760e+03  1.162e-01
3  1   27    2  4.292135e+01  2.50045  8.740718e+00     0.94  2.700e+01  1.800e+01  4.000e+00  2.185e+00
3  2   27    6  7.799698e+04  2.50045  1.976152e+03     3.30  1.771e+06  5.249e+05  5.760e+03  3.431e-01
3  3   27   18  6.052456e+13  2.50045  2.583977e+11    11.41  9.536e+25  2.480e+24  3.278e+18  7.883e-08
4  1   81    2  1.433994e+02  4.33091  9.734187e+00     0.99  2.700e+01  1.800e+01  4.000e+00  2.434e+00
4  2   81    6  2.945052e+06  4.33091  2.763578e+03     3.44  1.771e+06  5.249e+05  5.760e+03  4.798e-01
4  3   81   18  2.387890e+19  4.33091  5.179407e+12    12.71  9.536e+25  2.480e+24  3.278e+18  1.580e-06
4  4   81   54  3.256633e+54  4.33091  2.120400e+44    44.33  7.627e+101  1.342e+97  3.098e+79  6.844e-36
5  1  243    2  4.490127e+02  7.50135  1.015991e+01     1.01  2.700e+01  1.800e+01  4.000e+00  2.540e+00
5  2  243    6  9.051487e+07  7.50135  3.145828e+03     3.50  1.771e+06  5.249e+05  5.760e+03  5.462e-01
5  3  243   18  7.246609e+23  7.50135  7.985631e+12    12.90  9.536e+25  2.480e+24  3.278e+18  2.436e-06
5  4  243   54  1.736140e+71  7.50135  1.482381e+48    48.17  7.627e+101  1.342e+97  3.098e+79  4.784e-32
5  5  243  162  2.372653e+202  7.50135  2.477214e+167   167.39  inf  inf  inf  8.332e-147
R16 P3 GATE2 PILOT DONE
