cls  scale   l                    f  muT(best)     worstT       rho
1    1e9    1000000513           1  36597.282     261152.81    1.55392
1    1e12   1000000003841        1  65235.481     290904.89    1.48966
1    1e16   10000000000000897    1  48141.118     178599.11    1.47281
1    1e24   1000000000000000000001153 1  32527.161     304819.95    1.61807
1    1e33   1000000000000000000000000000018049 1  42627.325     332072.66    1.54591
63   1e9    1000000447           2  29864.442     202358.76    1.32754
63   1e12   1000000000063        2  8760.5129     133424.63    1.26645
63   1e16   10000000000003903    2  8197.0481     74699.288    1.21597
65   1e9    1000000321           2  4255.6474     7226.9581    0.989279
65   1e12   1000000000193        2  3765.7761     7104.3714    1.04065
65   1e16   10000000000004033    2  3268.5732     6467.6867    1.04812
127  1e9    1000001279           2  6901.5405     21927.789    1.17925
127  1e12   1000000002431        2  5815.5104     24871.0      1.15931
127  1e16   10000000000000639    2  3982.8689     20119.904    1.0777
verdict bands: <4224 close | 4224-15000 L_sat | 15000-53376 hard | >53376 stop
