  c00 rho=1.11522 T=679628.8
  c01 rho=2.01224 T=10174036.9
  c02 rho=1.06015 T=5845.6
  c03 rho=1.06419 T=27037.9
  c04 rho=0.93917 T=3087.1
  c05 rho=3.41565 T=167899.4
  c06 rho=1.00645 T=3753.8
  c07 rho=1.02815 T=4822.5
  c08 rho=1.01642 T=3294.7
  c09 rho=1.00903 T=2198.0
  c10 rho=1.47393 T=62583.7
  c11 rho=39.17228 T=3796.9
  c12 rho=0.90724 T=26608.2
  c13 rho=1.02731 T=9670.0
  c14 rho=1.31745 T=4896.0
  c15 rho=1.97779 T=5398.9
  c16 rho=9.86898 T=1372915448193739587520015541804267957615475798273406386195195268092133376.0
  c17 rho=1.05197 T=3116.8
  c18 rho=29.61396 T=33333624590489144759681024.0
  c19 rho=1.16524 T=6509.0
  c20 rho=1.14442 T=8897.4
  c21 rho=1.12185 T=4396.5
  c22 rho=2.30844 T=27207517120585.1
  c23 rho=1.09667 T=18238064.9
  c24 rho=1.32134 T=10846.1
  c25 rho=1.13177 T=11805.0
  c26 rho=1.07464 T=20020.8
  c27 rho=1.05573 T=5155.3
  c28 rho=3.29872 T=7498826163.3
  c29 rho=1.19935 T=13645.5
  c30 rho=1.09021 T=6442.9
  c31 rho=1.28776 T=226146.8
ESC l=10000003199 : RHO 2 T 5 OPEN 25 worst=39.17228  743s
   open: [(0, '1.1152', '679629'), (1, '2.0122', '10174037'), (2, '1.0602', '5846'), (3, '1.0642', '27038'), (5, '3.4156', '167899'), (7, '1.0281', '4822'), (10, '1.4739', '62584'), (13, '1.0273', '9670'), (14, '1.3174', '4896'), (15, '1.9778', '5399'), (16, '9.8690', '1372915448193739587520015541804267957615475798273406386195195268092133376'), (18, '29.6140', '33333624590489144759681024'), (19, '1.1652', '6509'), (20, '1.1444', '8897'), (21, '1.1218', '4397'), (22, '2.3084', '27207517120585'), (23, '1.0967', '18238065'), (24, '1.3213', '10846'), (25, '1.1318', '11805'), (26, '1.0746', '20021'), (27, '1.0557', '5155'), (28, '3.2987', '7498826163'), (29, '1.1994', '13645'), (30, '1.0902', '6443'), (31, '1.2878', '226147')]
ESC_FAST DONE l=10000003199
